02/13/14,22:03:46,2063.906250
02/13/14,22:04:04,2076.796875
02/13/14,22:04:22,2128.476562
02/13/14,22:04:40,2063.906250
02/13/14,22:04:58,2128.476562
02/13/14,22:05:16,2076.796875
02/13/14,22:05:34,2128.476562
02/13/14,22:05:52,2167.265625
02/13/14,22:06:10,2167.265625
02/13/14,22:06:28,2154.257812
02/13/14,22:06:46,2154.257812
02/13/14,22:07:04,2076.796875
02/13/14,22:07:22,2167.265625
02/13/14,22:07:40,2154.257812
02/13/14,22:07:58,2154.257812
02/13/14,22:08:16,2128.476562
02/13/14,22:08:34,2089.687500
02/13/14,22:08:52,2115.585938
02/13/14,22:09:28,2137.031250
02/13/14,22:09:46,2102.812500
